seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb1	1	50000	50000	*	2333	30551	0.076364112467677	CHG
Fvb1	50001	100000	50000	*	3014	36419	0.0827589994233779	CHG
Fvb1	100001	150000	50000	*	397	41981	0.00945665896476978	CHG
Fvb1	150001	200000	50000	*	3143	38684	0.0812480612139386	CHG
Fvb1	200001	250000	50000	*	859	35646	0.024098075520395	CHG
Fvb1	250001	300000	50000	*	4626	38393	0.120490714453156	CHG
Fvb1	300001	350000	50000	*	488	42691	0.0114309807687803	CHG
Fvb1	350001	400000	50000	*	1624	45028	0.0360664475437506	CHG
Fvb1	400001	450000	50000	*	1342	37569	0.0357209401368149	CHG
Fvb1	450001	500000	50000	*	2913	39895	0.0730166687554831	CHG
Fvb1	500001	550000	50000	*	726	33619	0.0215949314375799	CHG
Fvb1	550001	600000	50000	*	760	40831	0.0186133085155886	CHG
Fvb1	600001	650000	50000	*	1817	41923	0.0433413639291081	CHG
Fvb1	650001	700000	50000	*	1675	27241	0.0614881979369333	CHG
Fvb1	700001	750000	50000	*	3551	37895	0.0937062937062937	CHG
Fvb1	750001	800000	50000	*	5754	34865	0.165036569625699	CHG
Fvb1	800001	850000	50000	*	3753	35237	0.106507364418083	CHG
Fvb1	850001	900000	50000	*	1295	34155	0.0379153857414727	CHG
Fvb1	900001	950000	50000	*	220	40699	0.00540553821961228	CHG
Fvb1	950001	1000000	50000	*	2156	37205	0.0579492003762935	CHG
Fvb1	1000001	1050000	50000	*	1440	34441	0.0418106326761708	CHG
Fvb1	1050001	1100000	50000	*	551	33914	0.0162469776493484	CHG
Fvb1	1100001	1150000	50000	*	1242	27723	0.0448003462828698	CHG
Fvb1	1150001	1200000	50000	*	872	36696	0.0237628079354698	CHG
Fvb1	1200001	1250000	50000	*	5256	34567	0.152052535655394	CHG
Fvb1	1250001	1300000	50000	*	7233	23640	0.305964467005076	CHG
Fvb1	1300001	1350000	50000	*	2335	29699	0.0786221758308361	CHG
Fvb1	1350001	1400000	50000	*	1224	34275	0.0357111597374179	CHG
Fvb1	1400001	1450000	50000	*	502	38333	0.0130957660501396	CHG
Fvb1	1450001	1500000	50000	*	907	44220	0.0205110809588422	CHG
Fvb1	1500001	1550000	50000	*	4069	35281	0.115331198095292	CHG
Fvb1	1550001	1600000	50000	*	2509	38634	0.0649427965004918	CHG
Fvb1	1600001	1650000	50000	*	2281	39979	0.0570549538507717	CHG
Fvb1	1650001	1700000	50000	*	7639	42572	0.179437188762567	CHG
Fvb1	1700001	1750000	50000	*	2190	34041	0.0643341852472019	CHG
Fvb1	1750001	1800000	50000	*	556	40245	0.013815380792645	CHG
Fvb1	1800001	1850000	50000	*	499	40933	0.0121906530183471	CHG
Fvb1	1850001	1900000	50000	*	2064	45187	0.0456768539624228	CHG
Fvb1	1900001	1950000	50000	*	951	41722	0.0227937299266574	CHG
Fvb1	1950001	2000000	50000	*	1069	37378	0.0285997110599818	CHG
Fvb1	2000001	2050000	50000	*	1688	39193	0.0430689153675401	CHG
Fvb1	2050001	2100000	50000	*	1612	37032	0.0435299200691294	CHG
Fvb1	2100001	2150000	50000	*	3218	39592	0.0812790462719741	CHG
Fvb1	2150001	2200000	50000	*	659	34732	0.0189738569618795	CHG
Fvb1	2200001	2250000	50000	*	1392	40008	0.0347930413917217	CHG
Fvb1	2250001	2300000	50000	*	2022	26495	0.0763162860917154	CHG
Fvb1	2300001	2350000	50000	*	992	38787	0.0255755794467218	CHG
Fvb1	2350001	2400000	50000	*	1548	31486	0.0491647081242457	CHG
Fvb1	2400001	2450000	50000	*	1476	21341	0.0691626446745701	CHG
Fvb1	2450001	2500000	50000	*	3008	30946	0.097201576940477	CHG
Fvb1	2500001	2550000	50000	*	1188	34463	0.034471752314076	CHG
Fvb1	2550001	2600000	50000	*	5184	22922	0.226158275892156	CHG
Fvb1	2600001	2650000	50000	*	4738	29071	0.162980289635719	CHG
Fvb1	2650001	2700000	50000	*	1477	41583	0.0355193228001828	CHG
Fvb1	2700001	2750000	50000	*	646	38933	0.0165926078134231	CHG
